Fecha,IPeCo,Índice Coyuntural,Índice Expectativas,Situación Enconómica Actual,Desempleo Actual,Situación Económica Futura,Desempleo Futuro,Ingreso Futuro,IPeCo (m3)
01-11-2019,69.16,90.32,61.62,74.99,124.62,53.75,83.79,55.23,77.66
01-12-2019,47.98,56.66,44.94,52.47,66.88,62.52,32.03,35.78,60.96
01-01-2020,63.03,80.24,56.92,61.59,121.17,56.94,74.9,45.39,60.06
01-02-2020,71.65,94.89,63.37,80.25,127.86,66.89,81.19,48.47,60.89
01-03-2020,68.22,107.3,54.16,112.48,99.38,48.19,76.49,45.79,67.64
01-04-2020,49.61,32.8,55.85,29.7,40.11,61.44,56.55,49.85,63.16
01-05-2020,51.3,37.19,56.56,30.34,52.44,60.55,61.07,49.7,56.38
01-06-2020,63.02,30.07,75.16,22.17,47.28,80.59,77.64,68.19,54.65
01-07-2020,61.99,32.74,72.77,23.82,52.17,82.32,74.89,61.96,58.77
01-08-2020,74.97,50.85,83.92,42.09,70.42,94.24,88.67,70.65,66.66
01-09-2020,71.21,50.59,78.88,42.34,69.1,81.83,91.08,68.13,69.39
01-10-2020,76.31,58.1,83.12,53.54,69.13,79.92,102.83,73.66,74.16
01-11-2020,79.01,68.38,83.06,61.44,84.63,84.32,94.53,74.47,75.51
01-12-2020,66.99,65.12,67.83,58.74,80.12,66.01,82.43,60.27,74.1
01-01-2021,70.94,71.17,71.03,56.3,103.99,78.53,76.08,60.35,72.31
01-02-2021,86.89,91.87,85.28,70.97,137.81,87.76,105.54,69.84,74.94
